02-05 12:38:32.009 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/compat/TextViewCompatUtils;->setCompoundDrawablesRelativeWithIntrinsicBounds(Landroid/widget/TextView;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;Landroid/graphics/drawable/Drawable;)V
02-05 12:38:32.009 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onCreate(Landroid/os/Bundle;)V
02-05 12:38:32.012 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onResume()V
02-05 12:38:32.013 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->g()V
02-05 12:38:32.013 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->f()I
02-05 12:38:32.013 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->c()V
02-05 12:38:32.013 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SettingsPoolingHandler;->c()V
02-05 12:38:32.013 D/GeniusPudding( 9980): - Method START: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method END: Lcom/android/inputmethod/latin/utils/UncachedInputMethodManagerUtils;->a(Landroid/content/Context;Landroid/view/inputmethod/InputMethodManager;)Z
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->f()I
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStepGroup;->a(IZ)V
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setEnabled(ZZ)V
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setEnabled(ZZ)V
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setEnabled(ZZ)V
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setEnabled(ZZ)V
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setEnabled(ZZ)V
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStep;->setEnabled(ZZ)V
02-05 12:38:32.015 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupStepIndicatorView;->setIndicatorPosition(II)V
02-05 12:38:32.017 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupStepIndicatorView;->setIndicatorPosition(II)V
02-05 12:38:32.017 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity$SetupStepGroup;->a(IZ)V
02-05 12:38:32.017 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->g()V
02-05 12:38:32.017 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onResume()V
02-05 12:38:32.068 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onWindowFocusChanged(Z)V
02-05 12:38:32.068 D/GeniusPudding( 9980): - Method END: Lcom/dexilog/smartkeyboard/SetupWizardActivity;->onWindowFocusChanged(Z)V
02-05 12:38:32.088 D/GeniusPudding( 9980): - Method START: Lcom/dexilog/smartkeyboard/SetupStepIndicatorView;->onDraw(Landroid/graphics/Canvas;)V
